	Type de signalement	Date	Heure	Rue	Ville	lat	lon	Type de vélo	Le vélo était-il stationné dans un lieu clos ?	Le vélo était-il attaché ?
160	Vélo volé	25/11/2020	02:00	Pierre Landais	Nantes	47.20545689029609	-1.5592266896763478	Vélo de route	Oui, un local privatif	Non
161	Vélo volé	26/11/2020		Rue des Pavillons	Nantes	47.20449635620956	-1.594316558983914	VTT	Oui, un local privatif	Non
162	Vélo volé	26/11/2020		1 rue des Pavillons	Nantes	47.20449635620956	-1.594316558983914	VTC	Oui, un local privatif	Non
164	Vélo volé	27/10/2020	15:00	Rue Georges Lafont	Nantes	47.2372711256909	-1.5825449841078258	VTT	Oui, un local collectif	Non
165	Vélo volé	27/10/2020	12:30	Rue Georges Lafont	Nantes	47.2372711256909	-1.5825449841078258	VTT	Oui, un local collectif	Non
166	Vélo volé	30/11/2020	16:45	Rue Corneille	Nantes	47.21396812199888	-1.5624423853540617	VTC	Non	Oui
167	Vélo volé	01/12/2020	14:00	Rue Talensac 	Nantes	47.22114618513316	-1.5559519195106533	Vélo à assistance électrique	Non	Oui
168	Vélo volé	05/12/2020	10:00	Rue Pitre Chevalier	Nantes	47.22399610569483	-1.5504502957426318	Vélo à assistance électrique	Non	Oui
169	Vélo volé	06/12/2020	05:00	Rue de la Blèterie	Nantes	47.215015228964745	-1.5549041724739985	VTC	Oui, un local collectif	Non
170	Vélo volé	04/12/2020		Rue de la Bottière	Nantes	47.23869007339931	-1.5208265031657884	VTT		
171	Vélo volé	11/12/2020		Rue Sarrazin	Nantes	47.22045783195711	-1.5605478994545081	VTT	Oui, un local collectif	Oui
172	Vélo volé	05/06/2020		Avenue Pacaud	Nantes	47.22117935895622	-1.5373146859641509	VTC		
173	Vélo volé	05/12/2020	17:05	Rue des États	Nantes	47.215862004293555	-1.5507725915319694	Vélo à assistance électrique	Non	Oui
174	Vélo volé	14/12/2020		Mail Pablo Picasso	Nantes	47.215702253776456	-1.5353879534159507	Vélo de route	Oui, un local collectif	Oui
175	Vélo volé	14/12/2020		Route de Saint Sébastien	Nantes	47.19962335522356	-1.5304728854656247	Vélo de route	Oui, un local privatif	Non
176	Vélo volé	12/12/2020	14:00	Rue du Couëdic	Nantes	47.21413645450608	-1.55726698782025	Vélo de route	Non	Oui
178	Vélo volé	15/12/2020	19:00	Allée Brancas	Nantes	47.21367845655748	-1.5565172975987889	Vélo à assistance électrique		Oui
179	Vélo volé	15/12/2020	19:00	Allée Brancas	Nantes	47.21367845655748	-1.5565172975987889	Vélo à assistance électrique		Oui
180	Vélo volé	11/12/2020	22:00	Rue Affre	Nantes	47.21549581671046	-1.557488230147085	VTC	Non	Non
181	Vélo volé	18/12/2020	17:30	Avenue Willy Brandt	Rezé	47.17284451914691	-1.563078230148204	VTC	Oui, un local collectif	Oui
182	Vélo volé	20/12/2020	15:45	Rue Hubert de la Brosse	Orvault	47.28359022463546	-1.6298907645495067	VTT	Oui, un local privatif	Non
